저작물명,대상저작물상세정보,양수자기관명,양수자주소,양도자기관명,양도자소속,양도자대표주소,양도자연락처,계약체결일
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,강희주,스튜디오수집,경기도 고양시 덕양구 청초로 66 B동 1006호,010-4560-5825,2024.11.16
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,김영수,프리랜서,서울특별시 강남구 테헤란로 123,010-1234-5678,2024.11.17
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,박민정,미디어플러스,부산광역시 해운대구 센텀1로 89,010-9876-5432,2024.11.18
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,이창호,비주얼아트,대구광역시 중구 동성로 456,010-5678-1234,2024.11.19
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,정현미,크리에이티브스튜디오,인천광역시 연수구 송도과학로 234,010-2468-1357,2024.11.20
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,최영진,디지털콘텐츠,광주광역시 서구 상무중앙로 345,010-1357-2468,2024.11.21
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,윤성민,포토랩,대전광역시 유성구 대학로 567,010-9753-8642,2024.11.22
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,김혜원,아트워크스,울산광역시 남구 삼산로 678,010-8642-9753,2024.11.23
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,이태훈,미디어젠,세종특별자치시 한누리대로 789,010-3691-4725,2024.11.24
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,박소영,컬처미디어,경기도 성남시 분당구 판교로 890,010-7418-5263,2024.11.25
